trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.97800332139556,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.6065306597126334}",20,0,-127.83506730478067,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.36787944117144233}",20,3,-92.77288972230585,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.22313016014842982}",25,0,-57.947687841345584,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.1353352832366127}",30,0,-62.780699247649466,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.0820849986238988}",20,0,-22.02632012368667,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.049787068367863944}",25,0,-148.51154487835063,"{0: 18, 1: 2, 2: 0, 3: 2, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.0301973834223185}",25,0,-82.58815940550042,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.01831563888873418}",20,0,-42.70516961280514,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.011108996538242306}",20,6,-82.52528215627912,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.006737946999085467}",20,0,-82.74004798806303,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.004086771438464067}",30,0,-105.8518536511246,"{0: 22, 1: 3, 2: 2, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.0024787521766663585}",20,0,6.7126292530639695,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.0015034391929775724}",25,0,1.0762084190262005,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.0009118819655545162}",25,0,-2.483372444487359,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.0005530843701478336}",20,9,2.7970951886053825,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.00033546262790251185}",20,3,4.349151717389669,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.00020346836901064417}",20,7,21.036602934659697,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.00012340980408667956}",20,0,-8.928058722568647,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 7.48518298877006e-05}",20,0,-24.87047076716238,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-103.38545794958914,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",30,0,7.1194077141859005,"{0: 27, 1: 2, 2: 1, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,14,9.105237474909766,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,-40.054518351791614,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-25.52482736380923,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-61.36612114829852,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-54.699652295482814,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,7,-85.81271429920335,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 2}",1
9,True,"{'a': 0, 'e': 0}",20,16,7.313555444283125,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,0,-42.92723547118006,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",1
