trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 1.0}",20,0,-148.96840182842425,"{0: 10, 1: 0, 2: 6, 3: 3, 4: 1}",0
2,False,"{'a': 0.001, 'e': 0.999000499833375}",20,0,-142.80159730101417,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.001, 'e': 0.9980019986673331}",35,0,-179.04613061503372,"{0: 15, 1: 2, 2: 17, 3: 1, 4: 0}",0
4,False,"{'a': 0.001, 'e': 0.997004495503373}",20,0,-137.09233144539513,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
5,False,"{'a': 0.001, 'e': 0.9960079893439915}",25,3,-147.39768519832816,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 2}",1
6,False,"{'a': 0.001, 'e': 0.9950124791926823}",25,0,-252.2479255185723,"{0: 9, 1: 3, 2: 8, 3: 2, 4: 3}",0
7,False,"{'a': 0.001, 'e': 0.9940179640539353}",20,13,-15.60194327161717,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.001, 'e': 0.9930244429332351}",20,0,-116.25433053934582,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.001, 'e': 0.9920319148370607}",30,0,-152.27417424075801,"{0: 20, 1: 1, 2: 5, 3: 2, 4: 2}",0
10,False,"{'a': 0.001, 'e': 0.9910403787728836}",25,0,-107.1921406654044,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
11,False,"{'a': 0.001, 'e': 0.9900498337491681}",25,0,-110.43550576353049,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.001, 'e': 0.9890602787753687}",25,0,-163.1111775122654,"{0: 11, 1: 3, 2: 8, 3: 2, 4: 1}",0
13,False,"{'a': 0.001, 'e': 0.9880717128619305}",20,0,-137.76754034675116,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
14,False,"{'a': 0.001, 'e': 0.9870841350202876}",30,0,-166.00723363887766,"{0: 16, 1: 7, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.001, 'e': 0.9860975442628619}",30,0,-192.46696726056732,"{0: 9, 1: 9, 2: 10, 3: 1, 4: 1}",0
16,False,"{'a': 0.001, 'e': 0.9851119396030626}",25,0,-108.58114253106248,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.001, 'e': 0.9841273200552851}",25,0,-146.20446477218377,"{0: 12, 1: 2, 2: 9, 3: 1, 4: 1}",0
18,False,"{'a': 0.001, 'e': 0.9831436846349096}",25,0,-143.76436520831783,"{0: 11, 1: 5, 2: 7, 3: 1, 4: 1}",0
19,False,"{'a': 0.001, 'e': 0.9821610323583008}",25,0,-202.94239171880443,"{0: 11, 1: 5, 2: 5, 3: 1, 4: 3}",0
20,False,"{'a': 0.001, 'e': 0.981179362242806}",30,0,-192.09937916048318,"{0: 13, 1: 3, 2: 11, 3: 2, 4: 1}",0
21,False,"{'a': 0.001, 'e': 0.9801986733067553}",25,0,-159.9841112655917,"{0: 12, 1: 5, 2: 5, 3: 1, 4: 2}",0
22,False,"{'a': 0.001, 'e': 0.9792189645694596}",25,0,-206.47211436655692,"{0: 10, 1: 5, 2: 7, 3: 0, 4: 3}",0
23,False,"{'a': 0.001, 'e': 0.97824023505121}",25,0,-281.4464348569566,"{0: 9, 1: 2, 2: 8, 3: 2, 4: 4}",0
24,False,"{'a': 0.001, 'e': 0.9772624837732771}",25,0,-203.6422177483083,"{0: 7, 1: 4, 2: 11, 3: 2, 4: 1}",0
25,False,"{'a': 0.001, 'e': 0.9762857097579093}",20,0,-96.27224885412527,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
26,False,"{'a': 0.001, 'e': 0.9753099120283326}",20,0,-44.93542532785622,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
27,False,"{'a': 0.001, 'e': 0.9743350896087494}",20,0,-150.93268911932915,"{0: 9, 1: 2, 2: 5, 3: 3, 4: 1}",0
28,False,"{'a': 0.001, 'e': 0.9733612415243368}",25,0,-62.05541255614589,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
29,False,"{'a': 0.001, 'e': 0.9723883668012469}",30,0,-263.9242234787706,"{0: 14, 1: 2, 2: 10, 3: 0, 4: 4}",0
30,False,"{'a': 0.001, 'e': 0.9714164644666048}",20,0,-213.21084160887628,"{0: 6, 1: 2, 2: 7, 3: 3, 4: 2}",0
31,False,"{'a': 0.001, 'e': 0.9704455335485082}",20,0,-169.93650167195577,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
32,False,"{'a': 0.001, 'e': 0.9694755730760259}",20,0,-151.80066275243848,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
33,False,"{'a': 0.001, 'e': 0.9685065820791976}",20,0,-186.24356037476753,"{0: 8, 1: 5, 2: 3, 3: 1, 4: 3}",0
34,False,"{'a': 0.001, 'e': 0.967538559589032}",20,0,-93.72265527559307,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
35,False,"{'a': 0.001, 'e': 0.9665715046375066}",20,0,-141.25753252856478,"{0: 6, 1: 7, 2: 5, 3: 1, 4: 1}",0
36,False,"{'a': 0.001, 'e': 0.9656054162575665}",30,0,-298.61483305998195,"{0: 10, 1: 2, 2: 12, 3: 3, 4: 3}",0
37,False,"{'a': 0.001, 'e': 0.9646402934831231}",20,0,-116.26966977254916,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
38,False,"{'a': 0.001, 'e': 0.9636761353490535}",25,0,-114.32044330135294,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
39,False,"{'a': 0.001, 'e': 0.9627129408911995}",25,0,-218.62943680953828,"{0: 11, 1: 6, 2: 4, 3: 0, 4: 4}",0
40,False,"{'a': 0.001, 'e': 0.9617507091463667}",25,0,-92.48279332549203,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
41,False,"{'a': 0.001, 'e': 0.9607894391523232}",20,0,-163.4129736893915,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
42,False,"{'a': 0.001, 'e': 0.9598291299477989}",20,0,-164.67579423722188,"{0: 9, 1: 1, 2: 5, 3: 4, 4: 1}",0
