trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,-4,-32.287011200375275,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.6065306597126334}",25,-100,-678.7763470060354,"{0: 70, 1: 14, 2: 27, 3: 6, 4: 8}",0
3,False,"{'a': 0.5, 'e': 0.36787944117144233}",20,-100,-463.2875605696668,"{0: 63, 1: 28, 2: 25, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.22313016014842982}",20,-64,-609.7931520402972,"{0: 47, 1: 8, 2: 16, 3: 2, 4: 11}",0
5,False,"{'a': 0.5, 'e': 0.1353352832366127}",20,-100,-649.3122018122888,"{0: 64, 1: 16, 2: 30, 3: 2, 4: 8}",0
6,False,"{'a': 0.5, 'e': 0.0820849986238988}",25,-39,-280.6143406877171,"{0: 35, 1: 11, 2: 13, 3: 3, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.049787068367863944}",20,-100,-486.48807243546,"{0: 74, 1: 21, 2: 13, 3: 6, 4: 6}",0
8,False,"{'a': 0.5, 'e': 0.0301973834223185}",25,-35,-360.1498507337231,"{0: 34, 1: 5, 2: 15, 3: 0, 4: 6}",0
9,False,"{'a': 0.5, 'e': 0.01831563888873418}",25,-90,-726.7113556232204,"{0: 64, 1: 14, 2: 19, 3: 8, 4: 10}",0
10,False,"{'a': 0.5, 'e': 0.011108996538242306}",25,-86,-487.41199005489364,"{0: 66, 1: 15, 2: 21, 3: 3, 4: 6}",0
11,False,"{'a': 0.5, 'e': 0.006737946999085467}",30,-100,-780.4621486324336,"{0: 74, 1: 9, 2: 33, 3: 2, 4: 12}",0
12,False,"{'a': 0.5, 'e': 0.004086771438464067}",20,-68,-335.01073266833924,"{0: 55, 1: 10, 2: 17, 3: 2, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.0024787521766663585}",20,-8,-25.53337129742253,"{0: 22, 1: 3, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.0015034391929775724}",25,6,-104.26588969327489,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.0009118819655545162}",20,-28,-250.0191432278383,"{0: 26, 1: 5, 2: 14, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.0005530843701478336}",25,-100,-605.0182405870572,"{0: 75, 1: 17, 2: 20, 3: 5, 4: 8}",0
17,False,"{'a': 0.5, 'e': 0.00033546262790251185}",25,-100,-615.2373286086485,"{0: 74, 1: 14, 2: 23, 3: 7, 4: 7}",0
18,False,"{'a': 0.5, 'e': 0.00020346836901064417}",20,11,-22.767725207521217,"{0: 6, 1: 2, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.00012340980408667956}",30,-100,-784.1598756961279,"{0: 75, 1: 15, 2: 23, 3: 5, 4: 12}",0
20,False,"{'a': 0.5, 'e': 7.48518298877006e-05}",20,-42,-364.40852902449393,"{0: 33, 1: 11, 2: 10, 3: 3, 4: 5}",0
1,True,"{'a': 0, 'e': 0}",20,-52,-268.68907793553643,"{0: 43, 1: 5, 2: 21, 3: 1, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",30,-30,-224.8665611017375,"{0: 38, 1: 8, 2: 10, 3: 1, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",20,-56,-344.6965809481675,"{0: 43, 1: 8, 2: 18, 3: 4, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",30,-100,-496.7512366606189,"{0: 81, 1: 16, 2: 22, 3: 7, 4: 4}",0
5,True,"{'a': 0, 'e': 0}",20,-11,-110.58431749267608,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,-15,-179.7399374021846,"{0: 21, 1: 6, 2: 4, 3: 1, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",20,-52,-389.1318010373366,"{0: 43, 1: 7, 2: 15, 3: 0, 4: 7}",0
8,True,"{'a': 0, 'e': 0}",25,-3,-180.39892919430957,"{0: 11, 1: 7, 2: 6, 3: 3, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,-100,-652.5091321958283,"{0: 65, 1: 19, 2: 24, 3: 4, 4: 8}",0
10,True,"{'a': 0, 'e': 0}",25,-83,-378.93255576935564,"{0: 73, 1: 9, 2: 19, 3: 2, 4: 5}",0
